"long" "lat"
"724" -52.955894470215 -10.1097078222691
"725" -51.955894470215 -10.1097078222691
"726" -57.955894470215 -12.1097078208691
"727" -56.955894470215 -12.1097078208691
"728" -57.955894470215 -11.1097078215356
"729" -56.955894470215 -11.1097078215356
"730" -55.955894470215 -11.1097078215356
"731" -57.955894470215 -10.1097078222691
"732" -56.955894470215 -10.1097078222691
"733" -55.955894470215 -10.1097078222691
"734" -57.955894470215 -9.10970782306582
"735" -56.955894470215 -9.10970782306582
"736" -53.955894470215 -10.1097078222691
"737" -54.955894470215 -9.10970782306581
"738" -53.955894470215 -9.10970782306581
"739" -54.955894470215 -8.10970782392162
"740" -53.955894470215 -8.10970782392161
"741" -54.955894470215 -7.10970782483164
"742" -53.955894470215 -7.10970782483165
"743" -52.955894470215 -7.10970782483164
"744" -54.955894470215 -6.10970782579053
"745" -53.955894470215 -6.10970782579053
"746" -50.955894470215 -10.1097078222691
"747" -52.955894470215 -9.10970782306582
"748" -51.955894470215 -9.10970782306581
"749" -50.955894470215 -9.10970782306581
"750" -52.955894470215 -8.10970782392162
"751" -51.955894470215 -8.10970782392162
"752" -50.955894470215 -8.10970782392161
"753" -51.955894470215 -7.10970782483164
"754" -50.955894470215 -7.10970782483165
"755" -51.955894470215 -6.10970782579053
"756" -55.955894470215 -9.10970782306581
"757" -57.955894470215 -8.10970782392162
"758" -56.955894470215 -8.10970782392162
"759" -55.955894470215 -8.10970782392162
"760" -57.955894470215 -7.10970782483164
"761" -56.955894470215 -7.10970782483165
"762" -55.955894470215 -7.10970782483164
"763" -56.955894470215 -6.10970782579053
"764" -55.955894470215 -6.10970782579053
"765" -56.955894470215 -5.10970782679239
"766" -52.955894470215 -6.10970782579053
"767" -54.955894470215 -5.10970782679239
"768" -53.955894470215 -5.1097078267924
"769" -52.955894470215 -5.1097078267924
"770" -54.955894470215 -4.10970782783091
"771" -53.955894470215 -4.10970782783091
"772" -52.955894470215 -4.10970782783091
