"" "" "DR"
"133" -58.955894470215 -36.1097078235428 0.435445064639465
"134" -57.955894470215 -37.1097078240573 0.410787616192442
"135" -57.1340832568801 -37.0231068042115 0.410787616192442
"136" -57.1732021666745 -36.3225336544244 0.415414992637382
"137" -57.955894470215 -36.1097078235428 0.415414992637382
"138" -59.955894470215 -35.1097078230257 0.435445064639465
"139" -58.955894470215 -35.1097078230257 0.415414992637382
"140" -58.003454384752 -35.2062262973555 0.415414992637382
"141" -58.9713589472944 -34.1137152500994 0.411262186780072
"142" -64.955894470215 -38.1097078245652 0.499338667028358
"143" -63.955894470215 -38.1097078245652 0.50099191690903
"144" -62.955894470215 -38.1097078245652 0.495825063182064
"145" -64.955894470215 -37.1097078240572 0.479268155216222
"146" -63.955894470215 -37.1097078240572 0.484790956663007
"147" -62.955894470215 -37.1097078240573 0.495825063182064
"148" -61.955894470215 -37.1097078240572 0.530538208894562
"149" -63.955894470215 -36.1097078235428 0.495825063182064
"150" -62.955894470215 -36.1097078235428 0.530538208894562
"151" -61.955894470215 -36.1097078235428 0.472851601641866
"152" -64.955894470215 -36.1097078235428 0.496082413993915
"153" -65.955894470215 -35.1097078230257 0.455898336183289
"154" -64.955894470215 -35.1097078230257 0.495825063182064
"155" -63.955894470215 -35.1097078230257 0.495825063182064
"156" -64.955894470215 -34.10970782251 0.481108611317996
"157" -63.955894470215 -34.10970782251 0.441420379006539
"158" -62.955894470215 -34.10970782251 0.472851601641866
"159" -63.955894470215 -33.1097078220003 0.460797202565453
"160" -62.955894470215 -33.1097078220004 0.472851601641866
"161" -61.955894470215 -33.1097078220003 0.472851601641866
"162" -66.955894470215 -35.1097078230257 0.490821389877121
"163" -68.955894470215 -34.10970782251 0.428063247019929
"164" -67.955894470215 -34.10970782251 0.464012329057109
"165" -66.955894470215 -34.10970782251 0.509682046950435
"166" -65.955894470215 -34.10970782251 0.467953942569155
"167" -67.955894470215 -33.1097078220003 0.525419667381462
"168" -66.955894470215 -33.1097078220004 0.430483505841758
"169" -65.955894470215 -33.1097078220004 0.446847340482868
"170" -64.955894470215 -33.1097078220003 0.460797202565453
"171" -66.955894470215 -32.1097078215013 0.430483505841758
"172" -60.955894470215 -36.1097078235428 0.472851601641866
"173" -62.955894470215 -35.1097078230257 0.472851601641866
"174" -61.955894470215 -35.1097078230257 0.472851601641866
"175" -60.955894470215 -35.1097078230257 0.472851601641866
"176" -61.955894470215 -34.10970782251 0.472851601641866
"177" -60.955894470215 -34.10970782251 0.472851601641866
"178" -59.955894470215 -34.10970782251 0.415414992637382
"179" -60.955894470215 -33.1097078220003 0.429617525251015
"180" -59.955894470215 -33.1097078220004 0.388170334222774
"181" -58.9626440353023 -33.1036652751663 0.411262186780072
"182" -65.955894470215 -32.1097078215013 0.446847340482868
"183" -64.955894470215 -32.1097078215013 0.446847340482868
"184" -65.955894470215 -31.1097078210178 0.446847340482868
"185" -64.955894470215 -31.1097078210178 0.446847340482868
"186" -63.955894470215 -31.1097078210178 0.460797202565453
"187" -65.955894470215 -30.1097078205548 0.410379455352392
"188" -64.955894470215 -30.1097078205548 0.446847340482868
"189" -63.955894470215 -30.1097078205548 0.486488003535111
"190" -62.955894470215 -30.1097078205548 0.445014876234824
"191" -64.955894470215 -29.1097078201175 0.399997764578325
"192" -63.955894470215 -32.1097078215013 0.460797202565453
"193" -62.955894470215 -32.1097078215013 0.472851601641866
"194" -61.955894470215 -32.1097078215013 0.472851601641866
